epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,1329.63,0.2727,0.37634,0.32939,0.8991,0,0.99399,0.96108,0.98399,0.95255,0.98594,0.97811,0.98442,0.93743,0.23524,0.49362,0.33418,0.80276,0,0.00056678,0.00056678,0.00056678
42,1359.58,0.26261,0.4036,0.32596,0.88875,0,0.99996,0.96771,0.98756,0.95529,1,0.97168,0.98636,0.92541,0.23408,0.53549,0.32115,0.79863,0,0.000539275,0.000539275,0.000539275
43,1391.41,0.25178,0.38404,0.33728,0.8823,0,0.99569,0.975,0.98847,0.96196,0.99569,0.975,0.98703,0.93454,0.23479,0.46882,0.33105,0.80074,0,0.000511769,0.000511769,0.000511769
44,1423.71,0.23433,0.37155,0.30169,0.87497,0,0.9909,0.97225,0.9882,0.96544,0.9909,0.97225,0.9882,0.94127,0.22816,0.40472,0.29124,0.79558,0,0.000484263,0.000484263,0.000484263
45,1456.69,0.23592,0.38313,0.29844,0.87614,0,0.99668,0.96875,0.98696,0.95931,0.99668,0.96875,0.98696,0.9393,0.22744,0.39854,0.2865,0.79461,0,0.000456758,0.000456758,0.000456758
46,1488.71,0.23201,0.35785,0.28729,0.87255,0,1,0.97932,0.98903,0.96654,1,0.97932,0.98909,0.94192,0.21176,0.41575,0.27592,0.78385,0,0.000429253,0.000429253,0.000429253
47,1521.47,0.23472,0.35037,0.28089,0.87333,0,0.98624,0.98034,0.98924,0.9701,0.98624,0.98034,0.98945,0.93571,0.20241,0.44856,0.26702,0.77532,0,0.000401747,0.000401747,0.000401747
48,1552.81,0.22961,0.3438,0.29391,0.87335,0,0.99366,0.97374,0.98926,0.96273,0.99553,0.97425,0.98908,0.93929,0.21265,0.43918,0.26079,0.78257,0,0.000374242,0.000374242,0.000374242
49,1584.61,0.22397,0.35865,0.28827,0.87191,0,0.98033,0.98734,0.9892,0.96812,0.99945,0.97919,0.98988,0.93642,0.21059,0.43937,0.25752,0.78973,0,0.000346736,0.000346736,0.000346736
50,1614.82,0.22481,0.37917,0.29124,0.87489,0,0.98746,0.98459,0.98957,0.97061,0.99962,0.98042,0.98982,0.93734,0.21723,0.45412,0.25471,0.78964,0,0.000319231,0.000319231,0.000319231
51,1644.13,0.17246,0.25667,0.25188,0.83536,0,0.97124,0.9849,0.98926,0.96942,0.99299,0.98121,0.98969,0.943,0.21522,0.43594,0.30662,0.7892,0,0.000291725,0.000291725,0.000291725
52,1672.84,0.16813,0.26197,0.24192,0.8354,0,0.99014,0.96904,0.9892,0.95911,0.99898,0.98034,0.9897,0.94991,0.22624,0.42572,0.29642,0.7926,0,0.00026422,0.00026422,0.00026422
53,1702.14,0.17474,0.2608,0.23287,0.84498,0,0.99083,0.975,0.98719,0.96004,0.99711,0.98125,0.98964,0.94581,0.20623,0.3955,0.27458,0.78119,0,0.000236714,0.000236714,0.000236714
54,1730.42,0.17898,0.26314,0.23435,0.82429,0,0.99158,0.975,0.98602,0.96347,0.99782,0.98125,0.98969,0.94121,0.2127,0.38107,0.2688,0.78117,0,0.000209209,0.000209209,0.000209209
55,1759.09,0.17415,0.25127,0.22741,0.84452,0,0.99075,0.975,0.98741,0.97005,0.99703,0.98125,0.98958,0.94484,0.18635,0.39805,0.24205,0.76787,0,0.000181703,0.000181703,0.000181703
56,1788.89,0.15924,0.24494,0.21547,0.82252,0,0.98703,0.98667,0.98957,0.97171,0.99629,0.98096,0.98975,0.94643,0.19188,0.40704,0.24103,0.77026,0,0.000154198,0.000154198,0.000154198
57,1816.56,0.15809,0.2493,0.20803,0.83009,0,0.9935,0.98275,0.98969,0.97346,0.99925,0.98669,0.98988,0.94833,0.18893,0.3877,0.2394,0.76876,0,0.000126692,0.000126692,0.000126692
58,1844.24,0.1545,0.23427,0.20387,0.82904,0,0.99291,0.98171,0.98936,0.9726,0.99945,0.9875,0.98988,0.94895,0.17527,0.38409,0.22384,0.76294,0,9.91865e-05,9.91865e-05,9.91865e-05
59,1871.78,0.14838,0.23077,0.19958,0.81771,0,0.99338,0.98114,0.98963,0.97485,0.99962,0.98739,0.98988,0.95466,0.16621,0.39044,0.2201,0.75895,0,7.1681e-05,7.1681e-05,7.1681e-05
60,1899.19,0.14377,0.23488,0.19378,0.82298,0,0.99322,0.98072,0.98908,0.97216,0.99946,0.98697,0.98982,0.95226,0.16686,0.39877,0.21881,0.75946,0,4.41755e-05,4.41755e-05,4.41755e-05
