epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,1194.96,0.25994,0.34958,0.29408,0.84788,0,0.99771,0.96213,0.98158,0.97006,0.99771,0.96213,0.97987,0.93633,0.17809,0.37516,0.20996,0.75233,0,0.000511769,0.000511769,0.000511769
44,1222.2,0.24529,0.33777,0.2785,0.83825,0,0.99061,0.96296,0.98179,0.9728,0.99061,0.96296,0.97925,0.93448,0.18777,0.38485,0.21275,0.75777,0,0.000484263,0.000484263,0.000484263
45,1250.72,0.24198,0.36848,0.27478,0.83614,0,0.99144,0.9622,0.98313,0.97387,0.99144,0.9622,0.984,0.9436,0.16281,0.37002,0.19422,0.75674,0,0.000456758,0.000456758,0.000456758
46,1278.16,0.24952,0.34826,0.27551,0.84824,0,0.98922,0.96296,0.98281,0.9727,0.9872,0.96783,0.98702,0.94664,0.17613,0.36753,0.20645,0.75031,0,0.000429253,0.000429253,0.000429253
47,1305.55,0.24895,0.36381,0.27382,0.85409,0,0.9911,0.9686,0.98167,0.97434,0.99062,0.97287,0.98748,0.94386,0.15682,0.40486,0.19273,0.74669,0,0.000401747,0.000401747,0.000401747
48,1332.74,0.22882,0.32456,0.25976,0.82642,0,0.99897,0.96176,0.98479,0.97493,0.99897,0.96176,0.98684,0.94935,0.15328,0.41603,0.17872,0.74674,0,0.000374242,0.000374242,0.000374242
49,1362.63,0.24467,0.33938,0.25833,0.84221,0,0.9974,0.96914,0.98374,0.97567,0.9974,0.96914,0.98741,0.94952,0.15147,0.4042,0.17601,0.74639,0,0.000346736,0.000346736,0.000346736
50,1392.33,0.25874,0.33915,0.30985,0.85128,0,0.9905,0.96914,0.98101,0.96987,0.9905,0.96914,0.98636,0.94768,0.15985,0.39186,0.1796,0.75019,0,0.000319231,0.000319231,0.000319231
51,1419.84,0.17593,0.25445,0.20138,0.78136,0,0.99127,0.9627,0.98344,0.972,0.99127,0.9627,0.98731,0.94348,0.14231,0.39972,0.18867,0.74449,0,0.000291725,0.000291725,0.000291725
52,1447.17,0.16192,0.23293,0.18423,0.78536,0,0.99201,0.96296,0.98609,0.97719,0.99201,0.96296,0.98665,0.95458,0.15592,0.3712,0.18528,0.7472,0,0.00026422,0.00026422,0.00026422
53,1473.41,0.1627,0.24416,0.18581,0.76457,0,0.99942,0.96227,0.98302,0.97397,0.99942,0.96227,0.98723,0.95307,0.15428,0.38073,0.17753,0.74428,0,0.000236714,0.000236714,0.000236714
54,1499.21,0.17035,0.23372,0.1873,0.76659,0,0.99797,0.95679,0.98217,0.97505,0.99797,0.95679,0.98714,0.95433,0.14603,0.3816,0.17641,0.74255,0,0.000209209,0.000209209,0.000209209
55,1525.26,0.15988,0.23196,0.17769,0.77326,0,0.99112,0.95679,0.98515,0.97648,0.99112,0.95679,0.98744,0.94757,0.14186,0.39453,0.16812,0.74253,0,0.000181703,0.000181703,0.000181703
56,1551.03,0.16379,0.23039,0.18006,0.77502,0,0.99837,0.95679,0.98551,0.98007,0.99837,0.95679,0.98751,0.95018,0.13431,0.39163,0.15516,0.73974,0,0.000154198,0.000154198,0.000154198
57,1577.07,0.15838,0.242,0.18238,0.78287,0,0.98352,0.96914,0.98218,0.97756,0.98352,0.96914,0.98356,0.95015,0.12732,0.38799,0.15797,0.73764,0,0.000126692,0.000126692,0.000126692
58,1603.21,0.1364,0.22088,0.16125,0.7766,0,0.98365,0.96914,0.98215,0.978,0.98365,0.96914,0.98349,0.95118,0.12607,0.37117,0.15829,0.73765,0,9.91865e-05,9.91865e-05,9.91865e-05
59,1629.36,0.14764,0.22831,0.16086,0.77039,0,0.98914,0.96914,0.98441,0.97805,0.98914,0.96914,0.98766,0.95453,0.12524,0.36658,0.15186,0.73854,0,7.1681e-05,7.1681e-05,7.1681e-05
60,1655.56,0.14076,0.21754,0.15452,0.76882,0,0.99907,0.96106,0.98479,0.97923,0.99907,0.96106,0.98766,0.95278,0.12282,0.36628,0.14865,0.73871,0,4.41755e-05,4.41755e-05,4.41755e-05
